Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 04/10/2011
TIME       : 01:20:13
FILENAME   : D:\Diver Office\CSV\kangerlussuaqbaro1_111004012013_33065.CSV
CREATED BY : SWS Diver-Office 3.0.90.7
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=3
  Status                  =Started =0
  Serial number           =BB01-33065  210.
  Instrument number       =33065               
                          =0
  Location                =kangerlussuaqbaro1
  Sample period           =M10
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =0.0       cm
  Range                   =150.0     cm
  Master level            =0         cm
  Altitude                =11        m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Series settings]
  Serial number           =BB01-33065  210.
  Instrument number       =33065               
  Location                =kangerlussuaqbaro1
  Sample period           =00 00:10:00 0
  Sample method           =T   
  Start date / time       =00:00:12 09-05-11
  End date / time         =00:00:20 03-10-11
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =0.0       cm
  Range                   =150.0     cm
  Master level            =0         cm
  Altitude                =11        m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Data]
21217
Date/time;Pressure[cm];Temperature[°C]
2011-05-09 12:00:00;1043.9;14.82
2011-05-09 12:10:00;1043.6;13.89
2011-05-09 12:20:00;1043.3;13.47
2011-05-09 12:30:00;1043.1;13.26
2011-05-09 12:40:00;1042.8;13.22
2011-05-09 12:50:00;1042.7;13.23
2011-05-09 13:00:00;1042.6;13.44
2011-05-09 13:10:00;1042.2;13.50
2011-05-09 13:20:00;1042.2;13.72
2011-05-09 13:30:00;1041.8;13.97
2011-05-09 13:40:00;1041.7;14.20
2011-05-09 13:50:00;1041.7;13.94
2011-05-09 14:00:00;1042.4;12.22
2011-05-09 14:10:00;1042.6;10.42
2011-05-09 14:20:00;1042.8;8.84
2011-05-09 14:30:00;1043.0;7.76
2011-05-09 14:40:00;1042.7;7.04
2011-05-09 14:50:00;1042.5;6.58
2011-05-09 15:00:00;1042.6;6.13
2011-05-09 15:10:00;1042.6;5.78
2011-05-09 15:20:00;1042.6;5.50
2011-05-09 15:30:00;1042.4;5.27
2011-05-09 15:40:00;1042.4;5.10
2011-05-09 15:50:00;1042.3;4.91
2011-05-09 16:00:00;1042.2;4.94
2011-05-09 16:10:00;1042.3;5.20
2011-05-09 16:20:00;1042.4;5.92
2011-05-09 16:30:00;1042.0;6.75
2011-05-09 16:40:00;1042.0;6.96
2011-05-09 16:50:00;1041.8;6.59
2011-05-09 17:00:00;1041.4;6.08
2011-05-09 17:10:00;1041.7;5.66
2011-05-09 17:20:00;1041.8;5.35
2011-05-09 17:30:00;1042.0;5.07
2011-05-09 17:40:00;1042.1;4.79
2011-05-09 17:50:00;1042.0;4.59
2011-05-09 18:00:00;1042.0;4.44
2011-05-09 18:10:00;1042.0;4.28
2011-05-09 18:20:00;1042.0;4.15
2011-05-09 18:30:00;1042.2;4.05
2011-05-09 18:40:00;1041.9;3.89
2011-05-09 18:50:00;1042.1;3.77
2011-05-09 19:00:00;1042.1;3.59
2011-05-09 19:10:00;1042.4;3.34
2011-05-09 19:20:00;1042.2;3.20
2011-05-09 19:30:00;1042.1;3.18
2011-05-09 19:40:00;1042.2;3.04
2011-05-09 19:50:00;1042.1;2.86
2011-05-09 20:00:00;1042.3;2.76
2011-05-09 20:10:00;1042.4;2.62
2011-05-09 20:20:00;1042.4;2.52
2011-05-09 20:30:00;1042.2;2.53
2011-05-09 20:40:00;1042.1;2.46
2011-05-09 20:50:00;1042.1;2.40
2011-05-09 21:00:00;1042.2;2.28
2011-05-09 21:10:00;1042.2;2.29
2011-05-09 21:20:00;1042.0;2.22
2011-05-09 21:30:00;1042.2;2.22
2011-05-09 21:40:00;1042.1;2.23
2011-05-09 21:50:00;1042.2;2.12
2011-05-09 22:00:00;1042.1;2.00
2011-05-09 22:10:00;1042.0;1.96
2011-05-09 22:20:00;1042.1;1.84
2011-05-09 22:30:00;1042.1;1.71
2011-05-09 22:40:00;1041.9;1.58
2011-05-09 22:50:00;1042.0;1.44
2011-05-09 23:00:00;1041.9;1.38
2011-05-09 23:10:00;1042.0;1.24
2011-05-09 23:20:00;1042.0;1.08
2011-05-09 23:30:00;1042.1;0.91
2011-05-09 23:40:00;1042.1;0.68
2011-05-09 23:50:00;1041.8;0.54
2011-05-10 00:00:00;1041.9;0.45
2011-05-10 00:10:00;1042.2;0.36
2011-05-10 00:20:00;1042.1;0.39
2011-05-10 00:30:00;1041.9;0.43
2011-05-10 00:40:00;1041.7;0.47
2011-05-10 00:50:00;1042.0;0.47
2011-05-10 01:00:00;1042.0;0.48
2011-05-10 01:10:00;1041.7;0.50
2011-05-10 01:20:00;1041.6;0.58
2011-05-10 01:30:00;1042.0;0.72
2011-05-10 01:40:00;1041.6;0.80
