Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 10/10/2013
TIME       : 21:56:08
FILENAME   : D:\Diver Office\CSV\bro_oevre2_131010215608_88034.CSV
CREATED BY : SWS Diver-Office 3.0.90.7
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=13
  Status                  =Started =0
  Serial number           =.N15-88034  312.
  Instrument number       =                    
                          =0
  Location                =bro_oevre2
  Sample period           =M20
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =0.0       cm
  Range                   =1000.0    cm
  Master level            =0         CM WC
  Altitude                =4         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Channel 3]
  Identification          =1: CONDUCTIVITY
  Reference level         =0.000     mS/cm
  Range                   =30.000    mS/cm


[Series settings]
  Serial number           =.N15-88034  312.
  Instrument number       =                    
  Location                =bro_oevre2
  Sample period           =00 00:20:00 0
  Sample method           =T   
  Start date / time       =00:00:10 09-05-13
  End date / time         =00:20:16 10-10-13
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =0.0       cm
  Range                   =1000.0    cm
  Master level            =0         CM WC
  Altitude                =4         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Channel 3 from data header]
  Identification          =1: CONDUCTIVITY
  Reference level         =0.000     mS/cm
  Range                   =30.000    mS/cm


[Data]
11108
Date/time;Pressure[cm];Temperature[°C];1:Conductivity[mS/cm]
2013-05-09 10:00:00;1009.0;19.09;0.001
2013-05-09 10:20:00;1010.0;19.45;0.001
2013-05-09 10:40:00;1012.2;19.39;0.001
2013-05-09 11:00:00;1012.9;18.18;0.001
2013-05-09 11:20:00;1012.3;15.64;0.001
2013-05-09 11:40:00;1012.1;13.74;0.001
2013-05-09 12:00:00;1009.9;13.45;0.001
2013-05-09 12:20:00;1009.9;13.44;0.001
2013-05-09 12:40:00;1009.9;14.24;0.001
2013-05-09 13:00:00;1012.5;15.02;0.001
2013-05-09 13:20:00;1012.5;14.84;0.001
2013-05-09 13:40:00;1012.9;6.96;0.001
2013-05-09 14:00:00;1012.9;3.45;0.001
2013-05-09 14:20:00;1012.6;2.02;0.001
2013-05-09 14:40:00;1013.1;1.47;0.001
2013-05-09 15:00:00;1012.9;1.26;0.001
2013-05-09 15:20:00;1012.9;1.14;0.001
2013-05-09 15:40:00;1012.9;0.97;0.001
2013-05-09 16:00:00;1012.9;0.77;0.001
2013-05-09 16:20:00;1012.9;0.68;0.001
2013-05-09 16:40:00;1013.1;0.74;0.001
2013-05-09 17:00:00;1013.2;0.85;0.001
2013-05-09 17:20:00;1013.1;1.41;0.001
2013-05-09 17:40:00;1013.2;2.12;0.001
2013-05-09 18:00:00;1013.3;2.29;0.001
2013-05-09 18:20:00;1013.2;1.98;0.001
2013-05-09 18:40:00;1013.3;1.70;0.001
2013-05-09 19:00:00;1013.6;1.26;0.001
2013-05-09 19:20:00;1014.1;1.37;0.001
2013-05-09 19:40:00;1013.8;1.56;0.001
2013-05-09 20:00:00;1013.9;1.61;0.001
2013-05-09 20:20:00;1014.5;1.44;0.001
2013-05-09 20:40:00;1015.0;1.15;0.001
2013-05-09 21:00:00;1015.1;0.99;0.001
2013-05-09 21:20:00;1015.5;0.80;0.001
2013-05-09 21:40:00;1015.7;0.75;0.001
2013-05-09 22:00:00;1015.8;0.78;0.001
2013-05-09 22:20:00;1015.7;0.84;0.001
2013-05-09 22:40:00;1015.8;1.22;0.001
2013-05-09 23:00:00;1015.8;1.24;0.001
2013-05-09 23:20:00;1016.2;1.19;0.001
2013-05-09 23:40:00;1016.0;1.28;0.001
