Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 05/10/2010
TIME       : 11:16:51
FILENAME   : D:\Kangdata_okt2010\Divere\raadata\CSV\bro_oevre1_101005111651_B4392.CSV
CREATED BY : SWS Diver-Office 3.0.90.7
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Cera-Diver=16
  Status                  =Started =0
  Serial number           =.N00-B4392  216.
  Instrument number       =                    
                          =0
  Location                =bro_oevre1
  Sample period           =M05
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.0     cm
  Range                   =1750.0    cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Series settings]
  Serial number           =.N00-B4392  216.
  Instrument number       =                    
  Location                =bro_oevre1
  Sample period           =00 00:05:00 0
  Sample method           =T   
  Start date / time       =00:00:12 08-05-10
  End date / time         =00:05:06 05-10-10
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.0     cm
  Range                   =1750.0    cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Data]
43130
Date/time;Pressure[cm];Temperature[°C]
2010-05-08 12:00:00;1035.7;24.77
2010-05-08 12:05:00;1035.6;24.37
2010-05-08 12:10:00;1036.0;24.04
2010-05-08 12:15:00;1036.1;24.44
2010-05-08 12:20:00;1036.0;24.12
2010-05-08 12:25:00;1035.8;23.38
2010-05-08 12:30:00;1035.8;22.30
2010-05-08 12:35:00;1035.6;19.88
2010-05-08 12:40:00;1036.0;17.96
2010-05-08 12:45:00;1035.7;16.75
2010-05-08 12:50:00;1035.8;16.06
2010-05-08 12:55:00;1035.9;15.67
2010-05-08 13:00:00;1036.1;15.47
2010-05-08 13:05:00;1035.8;15.35
2010-05-08 13:10:00;1036.1;15.25
2010-05-08 13:15:00;1036.0;15.20
2010-05-08 13:20:00;1036.0;15.18
2010-05-08 13:25:00;1036.0;15.08
2010-05-08 13:30:00;1036.0;14.90
2010-05-08 13:35:00;1036.0;14.73
2010-05-08 13:40:00;1036.1;14.49
2010-05-08 13:45:00;1035.7;14.11
2010-05-08 13:50:00;1036.0;13.75
2010-05-08 13:55:00;1036.1;13.65
2010-05-08 14:00:00;1035.8;13.90
2010-05-08 14:05:00;1035.9;14.35
2010-05-08 14:10:00;1036.0;14.59
2010-05-08 14:15:00;1035.9;14.70
2010-05-08 14:20:00;1035.7;14.75
2010-05-08 14:25:00;1035.7;14.66
2010-05-08 14:30:00;1035.9;14.46
2010-05-08 14:35:00;1035.9;14.21
2010-05-08 14:40:00;1035.9;14.53
2010-05-08 14:45:00;1035.7;14.99
2010-05-08 14:50:00;1035.9;15.28
2010-05-08 14:55:00;1036.1;15.37
2010-05-08 15:00:00;1036.2;15.48
2010-05-08 15:05:00;1036.0;15.50
2010-05-08 15:10:00;1035.8;15.58
2010-05-08 15:15:00;1036.1;15.29
2010-05-08 15:20:00;1036.4;14.78
2010-05-08 15:25:00;1036.7;14.73
2010-05-08 15:30:00;1036.7;14.53
2010-05-08 15:35:00;1036.7;14.13
2010-05-08 15:40:00;1037.0;13.88
2010-05-08 15:45:00;1037.0;13.66
2010-05-08 15:50:00;1037.2;13.57
2010-05-08 15:55:00;1037.2;13.56
2010-05-08 16:00:00;1037.0;13.51
2010-05-08 16:05:00;1037.0;13.39
2010-05-08 16:10:00;1037.4;13.20
2010-05-08 16:15:00;1037.4;13.17
2010-05-08 16:20:00;1037.4;13.26
2010-05-08 16:25:00;1037.4;13.38
2010-05-08 16:30:00;1037.5;13.42
2010-05-08 16:35:00;1037.4;13.46
2010-05-08 16:40:00;1037.4;13.48
2010-05-08 16:45:00;1037.5;13.44
2010-05-08 16:50:00;1037.8;13.42
2010-05-08 16:55:00;1037.7;13.30
2010-05-08 17:00:00;1037.8;13.19
2010-05-08 17:05:00;1037.4;13.24
2010-05-08 17:10:00;1037.4;13.32
2010-05-08 17:15:00;1037.4;13.52
2010-05-08 17:20:00;1037.4;13.81
2010-05-08 17:25:00;1037.5;14.06
2010-05-08 17:30:00;1037.5;14.25
2010-05-08 17:35:00;1037.6;14.42
2010-05-08 17:40:00;1037.4;14.54
2010-05-08 17:45:00;1037.4;14.69
2010-05-08 17:50:00;1037.4;14.83
2010-05-08 17:55:00;1037.5;14.96
2010-05-08 18:00:00;1037.7;15.03
2010-05-08 18:05:00;1037.7;14.98
2010-05-08 18:10:00;1037.8;14.71
2010-05-08 18:15:00;1037.7;14.52
2010-05-08 18:20:00;1037.8;14.46
2010-05-08 18:25:00;1037.9;14.43
2010-05-08 18:30:00;1037.8;14.37
2010-05-08 18:35:00;1037.9;14.25
2010-05-08 18:40:00;1037.9;14.12
2010-05-08 18:45:00;1037.9;13.99
2010-05-08 18:50:00;1038.1;13.90
2010-05-08 18:55:00;1038.3;13.81
2010-05-08 19:00:00;1038.5;13.75
2010-05-08 19:05:00;1038.5;13.64
2010-05-08 19:10:00;1038.5;13.50
2010-05-08 19:15:00;1038.7;13.41
2010-05-08 19:20:00;1038.7;13.34
2010-05-08 19:25:00;1038.5;13.32
2010-05-08 19:30:00;1038.7;13.31
2010-05-08 19:35:00;1038.9;13.26
2010-05-08 19:40:00;1038.5;13.11
2010-05-08 19:45:00;1038.7;12.93
2010-05-08 19:50:00;1038.9;12.79
2010-05-08 19:55:00;1039.0;12.67
2010-05-08 20:00:00;1039.0;12.60
2010-05-08 20:05:00;1038.9;12.55
2010-05-08 20:10:00;1039.2;12.52
2010-05-08 20:15:00;1038.9;12.48
2010-05-08 20:20:00;1039.2;12.45
2010-05-08 20:25:00;1039.0;12.18
2010-05-08 20:30:00;1039.0;11.71
2010-05-08 20:35:00;1039.3;11.43
2010-05-08 20:40:00;1039.5;11.35
2010-05-08 20:45:00;1039.4;11.23
2010-05-08 20:50:00;1039.6;10.96
2010-05-08 20:55:00;1039.6;10.75
2010-05-08 21:00:00;1039.6;10.65
2010-05-08 21:05:00;1039.8;10.54
2010-05-08 21:10:00;1040.0;10.28
2010-05-08 21:15:00;1040.0;10.16
2010-05-08 21:20:00;1040.2;10.21
2010-05-08 21:25:00;1040.4;10.24
2010-05-08 21:30:00;1040.4;10.20
2010-05-08 21:35:00;1040.4;10.08
2010-05-08 21:40:00;1040.4;9.85
2010-05-08 21:45:00;1040.2;9.84
2010-05-08 21:50:00;1040.6;9.91
2010-05-08 21:55:00;1040.6;9.84
2010-05-08 22:00:00;1040.6;9.84
2010-05-08 22:05:00;1040.7;9.87
2010-05-08 22:10:00;1040.7;10.01
2010-05-08 22:15:00;1040.7;10.09
2010-05-08 22:20:00;1040.7;9.84
2010-05-08 22:25:00;1040.7;9.89
2010-05-08 22:30:00;1040.4;10.00
2010-05-08 22:35:00;1040.6;10.01
2010-05-08 22:40:00;1040.7;9.98
2010-05-08 22:45:00;1040.6;9.98
2010-05-08 22:50:00;1040.7;10.01
2010-05-08 22:55:00;1040.7;10.03
2010-05-08 23:00:00;1040.7;9.90
2010-05-08 23:05:00;1040.7;9.70
2010-05-08 23:10:00;1040.7;9.65
2010-05-08 23:15:00;1040.7;9.65
2010-05-08 23:20:00;1041.0;9.63
2010-05-08 23:25:00;1040.7;9.61
2010-05-08 23:30:00;1040.7;9.46
2010-05-08 23:35:00;1040.7;9.36
2010-05-08 23:40:00;1040.7;9.30
2010-05-08 23:45:00;1040.9;9.23
2010-05-08 23:50:00;1041.1;9.27
2010-05-08 23:55:00;1041.1;9.34
2010-05-09 00:00:00;1041.3;9.28
2010-05-09 00:05:00;1041.1;9.04
2010-05-09 00:10:00;1041.1;8.73
2010-05-09 00:15:00;1041.3;8.61
2010-05-09 00:20:00;1041.1;8.61
2010-05-09 00:25:00;1041.1;8.66
2010-05-09 00:30:00;1041.3;8.61
2010-05-09 00:35:00;1041.1;8.57
2010-05-09 00:40:00;1041.0;8.49
2010-05-09 00:45:00;1041.0;8.49
2010-05-09 00:50:00;1040.9;8.60
2010-05-09 00:55:00;1041.1;8.72
2010-05-09 01:00:00;1041.0;8.80
2010-05-09 01:05:00;1040.9;8.82
2010-05-09 01:10:00;1041.0;8.58
2010-05-09 01:15:00;1040.9;8.45
2010-05-09 01:20:00;1041.0;8.28
2010-05-09 01:25:00;1040.6;7.54
2010-05-09 01:30:00;1040.8;6.86
2010-05-09 01:35:00;1041.0;6.77
2010-05-09 01:40:00;1041.0;7.15
2010-05-09 01:45:00;1041.1;7.52
2010-05-09 01:50:00;1041.1;7.59
2010-05-09 01:55:00;1041.1;7.22
2010-05-09 02:00:00;1041.3;6.65
2010-05-09 02:05:00;1041.3;6.81
2010-05-09 02:10:00;1041.3;6.98
2010-05-09 02:15:00;1041.1;7.22
2010-05-09 02:20:00;1041.1;7.35
2010-05-09 02:25:00;1041.1;7.50
2010-05-09 02:30:00;1041.3;7.68
2010-05-09 02:35:00;1041.3;7.66
2010-05-09 02:40:00;1041.5;7.17
2010-05-09 02:45:00;1041.3;6.84
2010-05-09 02:50:00;1041.5;6.60
2010-05-09 02:55:00;1041.3;6.40
2010-05-09 03:00:00;1041.3;6.44
2010-05-09 03:05:00;1041.3;6.60
2010-05-09 03:10:00;1041.3;6.47
2010-05-09 03:15:00;1041.1;6.23
2010-05-09 03:20:00;1041.0;6.44
