Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 05/10/2010
TIME       : 10:39:02
FILENAME   : D:\Kangdata_okt2010\Divere\raadata\CSV\bro_oevre2_101005103902_88034.CSV
CREATED BY : SWS Diver-Office 3.0.90.7
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=13
  Status                  =Started =0
  Serial number           =.N01-88034  312.
  Instrument number       =                    
                          =0
  Location                =bro_oevre2
  Sample period           =M20
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =0.0       cm
  Range                   =1000.0    cm
  Master level            =0         CM WC
  Altitude                =4         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Channel 3]
  Identification          =1: CONDUCTIVITY
  Reference level         =0.000     mS/cm
  Range                   =30.000    mS/cm


[Series settings]
  Serial number           =.N01-88034  312.
  Instrument number       =                    
  Location                =bro_oevre2
  Sample period           =00 00:20:00 0
  Sample method           =T   
  Start date / time       =00:00:12 08-05-10
  End date / time         =00:20:05 05-10-10
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =0.0       cm
  Range                   =1000.0    cm
  Master level            =0         CM WC
  Altitude                =4         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Channel 3 from data header]
  Identification          =1: CONDUCTIVITY
  Reference level         =0.000     mS/cm
  Range                   =30.000    mS/cm


[Data]
10781
Date/time;Pressure[cm];Temperature[°C];1:Conductivity[mS/cm]
2010-05-08 12:00:00;1034.1;10.91;0.001
2010-05-08 12:20:00;1034.3;11.11;0.001
2010-05-08 12:40:00;1034.1;11.61;0.001
2010-05-08 13:00:00;1033.9;11.76;0.001
2010-05-08 13:20:00;1034.3;11.73;0.001
2010-05-08 13:40:00;1033.6;11.55;0.001
2010-05-08 14:00:00;1033.9;11.33;0.001
2010-05-08 14:20:00;1033.6;11.86;0.001
2010-05-08 14:40:00;1033.8;11.89;0.001
2010-05-08 15:00:00;1033.9;12.27;0.001
2010-05-08 15:20:00;1034.4;11.93;0.001
2010-05-08 15:40:00;1035.3;10.10;0.001
2010-05-08 16:00:00;1034.8;9.09;0.001
2010-05-08 16:20:00;1035.3;8.89;0.001
2010-05-08 16:40:00;1035.0;8.75;0.001
2010-05-08 17:00:00;1035.5;8.54;0.001
2010-05-08 17:20:00;1035.5;8.83;0.001
2010-05-08 17:40:00;1035.3;8.33;0.001
2010-05-08 18:00:00;1035.5;8.21;0.001
2010-05-08 18:20:00;1035.9;7.63;0.001
2010-05-08 18:40:00;1036.0;7.37;0.001
2010-05-08 19:00:00;1036.0;7.57;0.001
2010-05-08 19:20:00;1036.7;7.93;0.001
2010-05-08 19:40:00;1036.9;7.71;0.001
2010-05-08 20:00:00;1037.3;7.77;0.000
2010-05-08 20:20:00;1036.9;7.43;0.001
2010-05-08 20:40:00;1037.6;7.14;0.001
2010-05-08 21:00:00;1037.6;6.71;0.001
2010-05-08 21:20:00;1038.4;6.90;0.001
2010-05-08 21:40:00;1038.1;6.77;0.001
2010-05-08 22:00:00;1038.5;7.60;0.001
2010-05-08 22:20:00;1038.5;7.76;0.001
2010-05-08 22:40:00;1038.5;8.25;0.001
2010-05-08 23:00:00;1038.4;8.36;0.001
2010-05-08 23:20:00;1038.8;8.18;0.001
2010-05-08 23:40:00;1039.0;8.00;0.001
2010-05-09 00:00:00;1038.5;7.92;0.001
2010-05-09 00:20:00;1038.8;7.48;0.001
2010-05-09 00:40:00;1038.6;7.47;0.001
2010-05-09 01:00:00;1038.8;7.53;0.001
2010-05-09 01:20:00;1038.6;7.13;0.001
2010-05-09 01:40:00;1039.0;6.41;0.001
2010-05-09 02:00:00;1039.5;6.02;0.001
2010-05-09 02:20:00;1039.3;6.48;0.001
2010-05-09 02:40:00;1039.5;6.38;0.001
2010-05-09 03:00:00;1039.0;5.75;0.001
2010-05-09 03:20:00;1038.4;5.79;0.001
2010-05-09 03:40:00;1039.0;6.22;0.001
2010-05-09 04:00:00;1038.8;5.64;0.001
2010-05-09 04:20:00;1038.8;6.44;0.001
2010-05-09 04:40:00;1039.0;6.41;0.001
2010-05-09 05:00:00;1038.8;5.45;0.001
2010-05-09 05:20:00;1038.8;6.17;0.001
2010-05-09 05:40:00;1039.0;5.84;0.001
2010-05-09 06:00:00;1038.4;6.74;0.001
2010-05-09 06:20:00;1038.4;6.99;0.001
2010-05-09 06:40:00;1037.9;6.65;0.001
2010-05-09 07:00:00;1038.3;7.33;0.001
2010-05-09 07:20:00;1037.6;6.90;0.001
2010-05-09 07:40:00;1037.6;6.53;0.001
2010-05-09 08:00:00;1037.8;6.68;0.001
2010-05-09 08:20:00;1037.2;8.31;0.001
2010-05-09 08:40:00;1036.9;8.70;0.001
2010-05-09 09:00:00;1037.4;9.21;0.001
2010-05-09 09:20:00;1036.5;9.31;0.001
2010-05-09 09:40:00;1036.5;9.39;0.001
2010-05-09 10:00:00;1036.0;9.87;0.001
2010-05-09 10:20:00;1036.0;10.45;0.001
2010-05-09 10:40:00;1036.0;10.77;0.001
2010-05-09 11:00:00;1035.5;11.11;0.001
2010-05-09 11:20:00;1035.5;11.62;0.001
2010-05-09 11:40:00;1035.0;11.75;0.001
2010-05-09 12:00:00;1034.6;11.95;0.001
2010-05-09 12:20:00;1034.8;12.24;0.001
2010-05-09 12:40:00;1034.6;12.73;0.001
2010-05-09 13:00:00;1034.6;13.29;0.001
2010-05-09 13:20:00;1034.2;13.54;0.001
2010-05-09 13:40:00;1034.1;13.57;0.001
2010-05-09 14:00:00;1033.7;13.79;0.001
2010-05-09 14:20:00;1033.6;13.84;0.001
2010-05-09 14:40:00;1033.9;14.01;0.001
2010-05-09 15:00:00;1033.9;14.14;0.001
2010-05-09 15:20:00;1033.9;13.98;0.001
2010-05-09 15:40:00;1034.6;13.17;0.001
2010-05-09 16:00:00;1035.3;11.73;0.001
2010-05-09 16:20:00;1035.0;10.88;0.001
2010-05-09 16:40:00;1035.3;10.55;0.001
2010-05-09 17:00:00;1035.5;10.20;0.001
2010-05-09 17:20:00;1035.7;9.92;0.001
2010-05-09 17:40:00;1036.2;9.71;0.001
2010-05-09 18:00:00;1036.5;9.45;0.001
2010-05-09 18:20:00;1036.5;9.17;0.001
2010-05-09 18:40:00;1036.7;8.88;0.001
2010-05-09 19:00:00;1036.7;8.75;0.001
2010-05-09 19:20:00;1037.3;8.57;0.001
2010-05-09 19:40:00;1037.3;8.52;0.001
2010-05-09 20:00:00;1036.9;8.51;0.001
2010-05-09 20:20:00;1037.2;8.45;0.001
2010-05-09 20:40:00;1037.2;8.33;0.001
2010-05-09 21:00:00;1037.3;8.07;0.001
2010-05-09 21:20:00;1036.9;8.12;0.001
2010-05-09 21:40:00;1037.1;8.00;0.001
2010-05-09 22:00:00;1036.7;7.53;0.001
2010-05-09 22:20:00;1040.7;7.17;0.013
2010-05-09 22:40:00;1046.0;7.28;0.018
2010-05-09 23:00:00;1049.2;7.52;0.018
2010-05-09 23:20:00;1050.6;7.66;0.018
2010-05-09 23:40:00;1054.1;7.76;0.019
2010-05-10 00:00:00;1058.0;7.87;0.019
2010-05-10 00:20:00;1060.4;7.96;0.019
2010-05-10 00:40:00;1065.1;7.95;0.019
2010-05-10 01:00:00;1068.6;7.92;0.019
2010-05-10 01:20:00;1070.1;7.88;0.019
2010-05-10 01:40:00;1071.3;7.86;0.019
2010-05-10 02:00:00;1075.7;7.78;0.019
2010-05-10 02:20:00;1078.0;7.65;0.019
2010-05-10 02:40:00;1081.3;7.50;0.019
2010-05-10 03:00:00;1083.3;7.29;0.018
2010-05-10 03:20:00;1086.2;6.99;0.018
2010-05-10 03:40:00;1085.9;6.70;0.018
2010-05-10 04:00:00;1089.1;6.40;0.018
2010-05-10 04:20:00;1091.1;6.05;0.017
2010-05-10 04:40:00;1088.1;5.75;0.017
2010-05-10 05:00:00;1092.9;5.36;0.017
2010-05-10 05:20:00;1093.1;5.03;0.017
2010-05-10 05:40:00;1093.8;4.74;0.017
2010-05-10 06:00:00;1092.2;4.44;0.016
2010-05-10 06:20:00;1094.6;4.17;0.016
2010-05-10 06:40:00;1093.1;3.87;0.016
2010-05-10 07:00:00;1091.0;3.61;0.016
2010-05-10 07:20:00;1094.8;3.36;0.016
2010-05-10 07:40:00;1094.6;3.17;0.016
2010-05-10 08:00:00;1094.8;3.00;0.016
2010-05-10 08:20:00;1093.7;2.84;0.016
2010-05-10 08:40:00;1092.5;2.73;0.016
2010-05-10 09:00:00;1094.7;2.64;0.016
2010-05-10 09:20:00;1094.2;2.63;0.016
2010-05-10 09:40:00;1094.4;2.63;0.016
2010-05-10 10:00:00;1096.6;2.66;0.016
2010-05-10 10:20:00;1095.6;2.68;0.016
2010-05-10 10:40:00;1096.6;2.73;0.016
2010-05-10 11:00:00;1096.1;2.82;0.016
2010-05-10 11:20:00;1096.0;2.95;0.017
2010-05-10 11:40:00;1097.2;3.14;0.017
2010-05-10 12:00:00;1099.7;3.31;0.017
2010-05-10 12:20:00;1098.0;3.33;0.017
2010-05-10 12:40:00;1098.2;3.42;0.017
2010-05-10 13:00:00;1101.3;3.54;0.017
2010-05-10 13:20:00;1099.4;3.75;0.017
2010-05-10 13:40:00;1102.7;4.02;0.018
2010-05-10 14:00:00;1101.7;4.28;0.018
2010-05-10 14:20:00;1100.8;4.56;0.018
2010-05-10 14:40:00;1100.3;4.76;0.018
2010-05-10 15:00:00;1100.5;4.95;0.018
2010-05-10 15:20:00;1099.4;5.14;0.018
2010-05-10 15:40:00;1100.3;5.34;0.018
2010-05-10 16:00:00;1105.1;5.50;0.018
2010-05-10 16:20:00;1106.5;5.75;0.019
2010-05-10 16:40:00;1108.0;5.92;0.019
2010-05-10 17:00:00;1105.3;6.04;0.019
2010-05-10 17:20:00;1106.5;6.29;0.019
2010-05-10 17:40:00;1106.8;6.45;0.019
2010-05-10 18:00:00;1107.5;6.59;0.019
2010-05-10 18:20:00;1108.6;6.70;0.019
2010-05-10 18:40:00;1110.1;6.84;0.019
2010-05-10 19:00:00;1110.8;7.00;0.019
2010-05-10 19:20:00;1112.3;7.22;0.019
2010-05-10 19:40:00;1114.3;7.39;0.019
2010-05-10 20:00:00;1115.8;7.55;0.019
2010-05-10 20:20:00;1122.0;7.64;0.020
2010-05-10 20:40:00;1121.1;7.69;0.020
2010-05-10 21:00:00;1124.7;7.62;0.019
2010-05-10 21:20:00;1125.7;7.63;0.019
2010-05-10 21:40:00;1123.9;7.52;0.019
2010-05-10 22:00:00;1123.8;7.53;0.019
2010-05-10 22:20:00;1126.1;7.45;0.019
2010-05-10 22:40:00;1129.8;7.44;0.019
2010-05-10 23:00:00;1134.0;7.31;0.019
2010-05-10 23:20:00;1136.0;7.11;0.019
2010-05-10 23:40:00;1137.6;6.94;0.019
2010-05-11 00:00:00;1140.3;6.87;0.019
2010-05-11 00:20:00;1143.9;6.73;0.018
2010-05-11 00:40:00;1142.2;6.44;0.018
2010-05-11 01:00:00;1142.6;6.35;0.018
2010-05-11 01:20:00;1141.3;6.04;0.018
2010-05-11 01:40:00;1148.4;5.86;0.018
2010-05-11 02:00:00;1143.9;5.62;0.017
2010-05-11 02:20:00;1149.6;5.36;0.017
2010-05-11 02:40:00;1150.1;5.23;0.017
2010-05-11 03:00:00;1148.9;5.12;0.017
2010-05-11 03:20:00;1149.9;4.83;0.017
2010-05-11 03:40:00;1151.1;4.61;0.017
2010-05-11 04:00:00;1150.1;4.30;0.016
2010-05-11 04:20:00;1154.7;4.10;0.016
2010-05-11 04:40:00;1155.4;3.84;0.016
2010-05-11 05:00:00;1160.5;3.77;0.016
2010-05-11 05:20:00;1164.7;3.46;0.016
2010-05-11 05:40:00;1159.4;3.28;0.016
2010-05-11 06:00:00;1165.7;2.97;0.016
2010-05-11 06:20:00;1165.0;2.83;0.016
2010-05-11 06:40:00;1165.3;2.73;0.015
2010-05-11 07:00:00;1166.7;2.59;0.015
