Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 19/01/2015
TIME       : 12:21:11
FILENAME   : D:\Diver Office\CSV\bro_oevre_ctd_150119122111_88034.CSV
CREATED BY : SWS Diver-Office 3.0.90.7
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=13
  Status                  =Started =0
  Serial number           =.N19-88034  312.
  Instrument number       =                    
                          =0
  Location                =bro_oevre_ctd
  Sample period           =M20
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =0.0       cm
  Range                   =1000.0    cm
  Master level            =0         CM WC
  Altitude                =10        m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Channel 3]
  Identification          =1: CONDUCTIVITY
  Reference level         =0.000     mS/cm
  Range                   =30.000    mS/cm


[Series settings]
  Serial number           =.N19-88034  312.
  Instrument number       =                    
  Location                =bro_oevre_ctd
  Sample period           =00 00:20:00 0
  Sample method           =T   
  Start date / time       =00:00:00 15-05-14
  End date / time         =00:00:05 23-12-14
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =0.0       cm
  Range                   =1000.0    cm
  Master level            =0         CM WC
  Altitude                =10        m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Channel 3 from data header]
  Identification          =1: CONDUCTIVITY
  Reference level         =0.000     mS/cm
  Range                   =30.000    mS/cm


[Data]
16000
Date/time;Pressure[cm];Temperature[°C];1:Conductivity[mS/cm]
2014-05-15 00:00:00;1047.3;22.43;0.001
2014-05-15 00:20:00;1048.0;22.43;0.001
2014-05-15 00:40:00;1048.3;22.44;0.001
2014-05-15 01:00:00;1048.0;22.44;0.001
2014-05-15 01:20:00;1048.3;22.45;0.001
2014-05-15 01:40:00;1048.8;22.46;0.001
2014-05-15 02:00:00;1049.4;22.47;0.001
2014-05-15 02:20:00;1049.5;22.48;0.001
2014-05-15 02:40:00;1049.6;22.49;0.001
2014-05-15 03:00:00;1049.7;22.50;0.001
2014-05-15 03:20:00;1050.1;22.52;0.001
2014-05-15 03:40:00;1050.1;22.54;0.001
2014-05-15 04:00:00;1050.5;22.55;0.001
2014-05-15 04:20:00;1050.4;22.57;0.001
2014-05-15 04:40:00;1050.5;22.57;0.001
2014-05-15 05:00:00;1050.9;22.48;0.001
2014-05-15 05:20:00;1050.6;22.38;0.001
2014-05-15 05:40:00;1050.8;21.62;0.001
2014-05-15 06:00:00;1051.3;21.43;0.001
2014-05-15 06:20:00;1051.1;21.33;0.000
2014-05-15 06:40:00;1051.1;21.33;0.001
2014-05-15 07:00:00;1051.1;21.31;0.001
2014-05-15 07:20:00;1051.6;21.34;0.001
2014-05-15 07:40:00;1051.4;21.45;0.001
2014-05-15 08:00:00;1051.1;21.44;0.001
2014-05-15 08:20:00;1051.2;21.68;0.001
2014-05-15 08:40:00;1051.1;21.69;0.001
2014-05-15 09:00:00;1050.9;21.69;0.001
2014-05-15 09:20:00;1051.2;21.67;0.001
2014-05-15 09:40:00;1050.9;21.57;0.001
2014-05-15 10:00:00;1051.1;21.47;0.001
2014-05-15 10:20:00;1050.9;21.42;0.001
2014-05-15 10:40:00;1051.1;21.42;0.001
2014-05-15 11:00:00;1050.8;21.49;0.001
2014-05-15 11:20:00;1051.2;21.55;0.001
2014-05-15 11:40:00;1051.1;21.63;0.001
2014-05-15 12:00:00;1051.1;21.76;0.001
2014-05-15 12:20:00;1051.1;21.92;0.001
2014-05-15 12:40:00;1051.1;22.10;0.000
2014-05-15 13:00:00;1051.2;22.76;0.000
2014-05-15 13:20:00;1050.9;22.79;0.001
2014-05-15 13:40:00;1050.7;22.85;0.001
2014-05-15 14:00:00;1051.2;22.87;0.001
2014-05-15 14:20:00;1050.9;23.15;0.001
2014-05-15 14:40:00;1050.9;23.57;0.001
2014-05-15 15:00:00;1051.2;23.24;0.001
2014-05-15 15:20:00;1051.2;22.98;0.001
2014-05-15 15:40:00;1051.2;22.79;0.001
2014-05-15 16:00:00;1051.6;22.63;0.001
2014-05-15 16:20:00;1051.4;22.49;0.001
2014-05-15 16:40:00;1051.2;22.38;0.001
2014-05-15 17:00:00;1051.6;22.31;0.001
2014-05-15 17:20:00;1051.2;22.25;0.001
2014-05-15 17:40:00;1050.9;22.18;0.001
2014-05-15 18:00:00;1051.4;22.13;0.001
2014-05-15 18:20:00;1051.6;22.10;0.001
2014-05-15 18:40:00;1051.4;22.07;0.001
2014-05-15 19:00:00;1051.4;22.05;0.001
2014-05-15 19:20:00;1051.4;22.02;0.001
2014-05-15 19:40:00;1051.2;22.01;0.001
2014-05-15 20:00:00;1051.2;21.98;0.001
2014-05-15 20:20:00;1051.2;21.96;0.001
2014-05-15 20:40:00;1051.0;21.93;0.001
2014-05-15 21:00:00;1050.7;21.92;0.000
2014-05-15 21:20:00;1050.7;21.89;0.001
2014-05-15 21:40:00;1050.6;21.88;0.001
2014-05-15 22:00:00;1050.4;21.87;0.001
2014-05-15 22:20:00;1050.2;21.85;0.001
2014-05-15 22:40:00;1049.7;21.84;0.001
2014-05-15 23:00:00;1049.9;21.83;0.001
2014-05-15 23:20:00;1049.8;21.82;0.001
2014-05-15 23:40:00;1049.9;21.81;0.001
2014-05-16 00:00:00;1049.5;21.80;0.000
2014-05-16 00:20:00;1049.5;21.79;0.001
2014-05-16 00:40:00;1049.9;21.79;0.001
2014-05-16 01:00:00;1049.5;21.77;0.001
2014-05-16 01:20:00;1049.2;21.75;0.001
2014-05-16 01:40:00;1049.5;21.73;0.001
2014-05-16 02:00:00;1049.2;21.69;0.001
2014-05-16 02:20:00;1049.0;21.64;0.001
2014-05-16 02:40:00;1049.1;21.62;0.001
2014-05-16 03:00:00;1049.4;21.62;0.001
2014-05-16 03:20:00;1049.2;21.62;0.001
2014-05-16 03:40:00;1049.6;21.63;0.001
2014-05-16 04:00:00;1049.3;21.64;0.000
2014-05-16 04:20:00;1049.5;21.66;0.001
2014-05-16 04:40:00;1049.2;21.69;0.001
2014-05-16 05:00:00;1049.2;21.71;0.000
2014-05-16 05:20:00;1049.2;21.73;0.001
2014-05-16 05:40:00;1048.9;21.76;0.001
2014-05-16 06:00:00;1048.7;21.78;0.001
2014-05-16 06:20:00;1049.1;21.77;0.000
2014-05-16 06:40:00;1048.5;21.77;0.001
2014-05-16 07:00:00;1048.5;21.77;0.001
2014-05-16 07:20:00;1048.3;21.77;0.001
2014-05-16 07:40:00;1048.2;21.74;0.001
2014-05-16 08:00:00;1048.0;21.71;0.001
2014-05-16 08:20:00;1047.8;21.71;0.001
2014-05-16 08:40:00;1047.5;21.70;0.001
2014-05-16 09:00:00;1047.5;21.69;0.001
2014-05-16 09:20:00;1047.3;21.71;0.001
2014-05-16 09:40:00;1046.8;21.75;0.001
2014-05-16 10:00:00;1047.1;21.80;0.001
2014-05-16 10:20:00;1047.2;21.84;0.000
2014-05-16 10:40:00;1046.7;21.88;0.001
2014-05-16 11:00:00;1046.5;21.92;0.001
2014-05-16 11:20:00;1046.1;21.98;0.001
2014-05-16 11:40:00;1045.9;22.03;0.001
2014-05-16 12:00:00;1046.0;22.08;0.001
2014-05-16 12:20:00;1045.6;22.16;0.001
2014-05-16 12:40:00;1045.5;22.27;0.001
2014-05-16 13:00:00;1045.3;22.33;0.001
2014-05-16 13:20:00;1045.1;22.42;0.001
2014-05-16 13:40:00;1044.7;22.53;0.000
2014-05-16 14:00:00;1045.1;22.71;0.001
2014-05-16 14:20:00;1044.5;23.92;0.001
2014-05-16 14:40:00;1044.7;24.33;0.001
2014-05-16 15:00:00;1044.2;23.82;0.001
2014-05-16 15:20:00;1044.4;23.50;0.001
2014-05-16 15:40:00;1044.7;23.26;0.001
2014-05-16 16:00:00;1044.7;23.07;0.001
2014-05-16 16:20:00;1044.9;22.94;0.001
2014-05-16 16:40:00;1044.7;22.83;0.001
2014-05-16 17:00:00;1044.9;22.74;0.001
2014-05-16 17:20:00;1045.1;22.66;0.001
2014-05-16 17:40:00;1044.9;22.60;0.001
2014-05-16 18:00:00;1045.0;22.55;0.001
2014-05-16 18:20:00;1044.4;22.50;0.000
2014-05-16 18:40:00;1044.2;22.45;0.001
2014-05-16 19:00:00;1044.4;22.42;0.001
2014-05-16 19:20:00;1043.8;22.38;0.001
2014-05-16 19:40:00;1043.9;22.35;0.001
2014-05-16 20:00:00;1043.7;22.32;0.001
2014-05-16 20:20:00;1043.9;22.30;0.001
2014-05-16 20:40:00;1043.5;22.29;0.001
2014-05-16 21:00:00;1043.4;22.27;0.000
2014-05-16 21:20:00;1043.2;22.25;0.001
2014-05-16 21:40:00;1043.0;22.23;0.001
2014-05-16 22:00:00;1043.8;22.22;0.001
2014-05-16 22:20:00;1043.0;22.21;0.001
2014-05-16 22:40:00;1043.0;22.19;0.001
2014-05-16 23:00:00;1043.0;22.18;0.001
2014-05-16 23:20:00;1042.7;22.16;0.001
2014-05-16 23:40:00;1042.5;22.16;0.001
2014-05-17 00:00:00;1042.4;22.15;0.001
2014-05-17 00:20:00;1042.3;22.14;0.001
2014-05-17 00:40:00;1041.8;22.13;0.001
2014-05-17 01:00:00;1042.2;22.13;0.001
2014-05-17 01:20:00;1041.9;22.13;0.001
2014-05-17 01:40:00;1042.3;22.14;0.000
2014-05-17 02:00:00;1042.5;22.15;0.001
2014-05-17 02:20:00;1042.5;22.15;0.001
2014-05-17 02:40:00;1042.0;22.14;0.001
2014-05-17 03:00:00;1042.0;22.14;0.001
2014-05-17 03:20:00;1042.1;22.14;0.001
2014-05-17 03:40:00;1042.0;22.14;0.001
2014-05-17 04:00:00;1042.4;22.13;0.001
2014-05-17 04:20:00;1042.2;22.13;0.001
2014-05-17 04:40:00;1041.8;22.12;0.001
2014-05-17 05:00:00;1041.8;22.12;0.001
2014-05-17 05:20:00;1041.8;22.12;0.000
2014-05-17 05:40:00;1041.8;22.13;0.001
2014-05-17 06:00:00;1041.3;22.13;0.001
2014-05-17 06:20:00;1041.2;22.13;0.001
2014-05-17 06:40:00;1041.2;22.13;0.001
2014-05-17 07:00:00;1040.8;22.14;0.001
2014-05-17 07:20:00;1041.0;22.13;0.001
2014-05-17 07:40:00;1040.6;22.14;0.001
2014-05-17 08:00:00;1040.2;22.14;0.001
2014-05-17 08:20:00;1040.3;22.14;0.001
2014-05-17 08:40:00;1039.9;22.14;0.001
2014-05-17 09:00:00;1040.1;22.14;0.001
2014-05-17 09:20:00;1039.9;22.15;0.000
2014-05-17 09:40:00;1039.9;22.15;0.000
2014-05-17 10:00:00;1039.8;22.15;0.000
2014-05-17 10:20:00;1039.1;22.16;0.001
2014-05-17 10:40:00;1039.1;22.19;0.001
2014-05-17 11:00:00;1039.2;22.22;0.001
2014-05-17 11:20:00;1039.1;22.27;0.001
2014-05-17 11:40:00;1038.7;22.32;0.001
2014-05-17 12:00:00;1038.7;22.39;0.000
2014-05-17 12:20:00;1038.4;22.46;0.001
2014-05-17 12:40:00;1038.2;22.55;0.001
2014-05-17 13:00:00;1038.4;22.65;0.001
2014-05-17 13:20:00;1037.9;22.76;0.001
2014-05-17 13:40:00;1038.2;22.89;0.000
2014-05-17 14:00:00;1038.4;23.08;0.001
2014-05-17 14:20:00;1038.2;24.39;0.001
2014-05-17 14:40:00;1037.8;24.81;0.001
2014-05-17 15:00:00;1037.9;24.28;0.001
2014-05-17 15:20:00;1038.2;23.96;0.001
2014-05-17 15:40:00;1037.9;23.71;0.001
2014-05-17 16:00:00;1038.2;23.53;0.001
2014-05-17 16:20:00;1038.2;23.37;0.001
2014-05-17 16:40:00;1038.0;23.24;0.001
2014-05-17 17:00:00;1038.5;23.14;0.001
2014-05-17 17:20:00;1037.9;23.06;0.001
2014-05-17 17:40:00;1038.2;23.00;0.001
2014-05-17 18:00:00;1037.5;22.94;0.001
