Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 05/10/2010
TIME       : 11:00:03
FILENAME   : D:\Kangdata_okt2010\Divere\raadata\CSV\kangerlussuaqbaro1_101005110003_33065.CSV
CREATED BY : SWS Diver-Office 3.0.90.7
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=3
  Status                  =Started =0
  Serial number           =BB01-33065  210.
  Instrument number       =33065               
                          =0
  Location                =kangerlussuaqbaro1
  Sample period           =M20
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =0.0       cm
  Range                   =150.0     cm
  Master level            =0         cm
  Altitude                =11        m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Series settings]
  Serial number           =BB01-33065  210.
  Instrument number       =33065               
  Location                =kangerlussuaqbaro1
  Sample period           =00 00:20:00 0
  Sample method           =T   
  Start date / time       =00:00:12 08-05-10
  End date / time         =00:00:06 05-10-10
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =0.0       cm
  Range                   =150.0     cm
  Master level            =0         cm
  Altitude                =11        m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Data]
10783
Date/time;Pressure[cm];Temperature[°C]
2010-05-08 12:00:00;1038.2;19.26
2010-05-08 12:20:00;1036.5;19.90
2010-05-08 12:40:00;1036.5;18.59
2010-05-08 13:00:00;1036.8;17.76
2010-05-08 13:20:00;1037.2;17.06
2010-05-08 13:40:00;1036.5;17.23
2010-05-08 14:00:00;1036.6;17.60
2010-05-08 14:20:00;1036.4;18.23
2010-05-08 14:40:00;1036.1;18.43
2010-05-08 15:00:00;1036.2;18.61
2010-05-08 15:20:00;1036.6;19.03
2010-05-08 15:40:00;1037.7;17.01
2010-05-08 16:00:00;1038.4;14.91
2010-05-08 16:20:00;1038.8;14.03
2010-05-08 16:40:00;1039.0;13.68
2010-05-08 17:00:00;1039.1;13.40
2010-05-08 17:20:00;1038.6;13.87
2010-05-08 17:40:00;1038.6;14.84
2010-05-08 18:00:00;1038.6;15.90
2010-05-08 18:20:00;1038.3;15.99
2010-05-08 18:40:00;1038.7;15.44
2010-05-08 19:00:00;1039.3;15.08
2010-05-08 19:20:00;1039.3;14.98
2010-05-08 19:40:00;1039.7;14.07
2010-05-08 20:00:00;1040.0;13.20
2010-05-08 20:20:00;1040.4;12.37
2010-05-08 20:40:00;1040.5;11.64
2010-05-08 21:00:00;1040.7;11.10
2010-05-08 21:20:00;1041.2;10.58
2010-05-08 21:40:00;1041.4;10.13
2010-05-08 22:00:00;1041.6;9.81
2010-05-08 22:20:00;1041.6;9.48
2010-05-08 22:40:00;1041.5;9.16
2010-05-08 23:00:00;1041.3;9.22
2010-05-08 23:20:00;1041.3;9.03
2010-05-08 23:40:00;1041.3;8.88
2010-05-09 00:00:00;1041.7;8.58
2010-05-09 00:20:00;1041.6;8.28
2010-05-09 00:40:00;1041.3;8.22
2010-05-09 01:00:00;1041.2;7.94
2010-05-09 01:20:00;1041.3;7.13
2010-05-09 01:40:00;1041.7;6.56
2010-05-09 02:00:00;1041.7;6.16
2010-05-09 02:20:00;1041.7;5.82
2010-05-09 02:40:00;1041.6;5.95
2010-05-09 03:00:00;1041.5;5.60
2010-05-09 03:20:00;1041.5;5.36
2010-05-09 03:40:00;1041.5;5.12
2010-05-09 04:00:00;1041.3;4.99
2010-05-09 04:20:00;1041.2;5.28
2010-05-09 04:40:00;1040.9;5.18
2010-05-09 05:00:00;1041.1;5.23
2010-05-09 05:20:00;1040.9;5.58
2010-05-09 05:40:00;1040.7;6.30
2010-05-09 06:00:00;1040.3;7.08
2010-05-09 06:20:00;1040.3;7.79
2010-05-09 06:40:00;1040.3;8.44
2010-05-09 07:00:00;1040.4;9.15
2010-05-09 07:20:00;1040.1;10.07
2010-05-09 07:40:00;1040.3;10.77
2010-05-09 08:00:00;1040.1;11.33
2010-05-09 08:20:00;1039.8;11.72
2010-05-09 08:40:00;1039.4;11.91
2010-05-09 09:00:00;1039.8;12.84
2010-05-09 09:20:00;1039.6;13.84
2010-05-09 09:40:00;1039.2;14.49
2010-05-09 10:00:00;1038.8;15.06
2010-05-09 10:20:00;1038.9;15.48
2010-05-09 10:40:00;1038.7;16.02
2010-05-09 11:00:00;1038.6;16.46
2010-05-09 11:20:00;1038.3;16.79
2010-05-09 11:40:00;1037.9;17.06
2010-05-09 12:00:00;1037.5;17.42
2010-05-09 12:20:00;1037.5;17.73
2010-05-09 12:40:00;1037.4;18.06
2010-05-09 13:00:00;1037.1;18.56
2010-05-09 13:20:00;1037.1;19.00
2010-05-09 13:40:00;1037.0;19.18
2010-05-09 14:00:00;1036.8;19.42
2010-05-09 14:20:00;1036.8;19.64
2010-05-09 14:40:00;1036.7;19.92
2010-05-09 15:00:00;1036.8;20.02
2010-05-09 15:20:00;1036.6;20.13
2010-05-09 15:40:00;1037.7;19.61
2010-05-09 16:00:00;1037.7;17.06
2010-05-09 16:20:00;1038.3;15.41
2010-05-09 16:40:00;1038.3;14.50
2010-05-09 17:00:00;1038.7;13.70
2010-05-09 17:20:00;1038.5;13.13
2010-05-09 17:40:00;1039.1;12.72
2010-05-09 18:00:00;1039.5;12.16
2010-05-09 18:20:00;1039.5;11.30
2010-05-09 18:40:00;1039.4;10.38
2010-05-09 19:00:00;1039.8;9.76
2010-05-09 19:20:00;1039.8;9.28
2010-05-09 19:40:00;1040.2;8.98
