Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 10/10/2013
TIME       : 21:56:06
FILENAME   : D:\Diver Office\CSV\bro_oevre2_131010215606_G4445.CSV
CREATED BY : SWS Diver-Office 3.0.90.7
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =Cera-Diver=16
  Status                  =Started =0
  Serial number           =..00-G4445  216.
  Instrument number       =                    
                          =0
  Location                =bro_oevre2
  Sample period           =M05
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400.0     cm
  Range                   =1750.0    cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Series settings]
  Serial number           =..00-G4445  216.
  Instrument number       =                    
  Location                =bro_oevre2
  Sample period           =00 00:05:00 0
  Sample method           =T   
  Start date / time       =41:36:16 07-05-13
  End date / time         =41:36:16 10-10-13
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400.0     cm
  Range                   =1750.0    cm
  Master level            =0         m
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Data]
44929
Date/time;Pressure[cm];Temperature[°C]
2013-05-07 16:36:41;1015.2;21.16
2013-05-07 16:41:41;1015.0;24.67
2013-05-07 16:46:41;1025.0;22.05
2013-05-07 16:51:41;1017.3;19.17
2013-05-07 16:56:41;1013.4;19.84
2013-05-07 17:01:41;1019.5;19.39
2013-05-07 17:06:41;1021.7;17.39
2013-05-07 17:11:41;1021.5;14.13
2013-05-07 17:16:41;1023.4;12.13
2013-05-07 17:21:41;1024.1;10.99
2013-05-07 17:26:41;1023.7;9.53
2013-05-07 17:31:41;1023.3;8.22
2013-05-07 17:36:41;1023.3;7.46
2013-05-07 17:41:41;1023.0;7.05
2013-05-07 17:46:41;1022.9;6.67
2013-05-07 17:51:41;1022.8;6.30
2013-05-07 17:56:41;1022.8;6.04
2013-05-07 18:01:41;1022.8;6.00
2013-05-07 18:06:41;1023.0;6.00
2013-05-07 18:11:41;1023.0;5.66
2013-05-07 18:16:41;1023.0;5.22
2013-05-07 18:21:41;1023.2;4.81
2013-05-07 18:26:41;1023.0;4.54
2013-05-07 18:31:41;1023.0;4.44
2013-05-07 18:36:41;1023.0;4.31
2013-05-07 18:41:41;1023.2;4.23
2013-05-07 18:46:41;1023.4;4.07
2013-05-07 18:51:41;1023.2;3.92
2013-05-07 18:56:41;1023.2;3.82
2013-05-07 19:01:41;1023.0;3.72
2013-05-07 19:06:41;1023.2;3.64
2013-05-07 19:11:41;1023.0;3.57
2013-05-07 19:16:41;1023.3;3.49
2013-05-07 19:21:41;1023.2;3.42
2013-05-07 19:26:41;1023.4;3.37
2013-05-07 19:31:41;1023.5;3.33
2013-05-07 19:36:41;1023.4;3.29
2013-05-07 19:41:41;1023.4;3.27
2013-05-07 19:46:41;1023.5;3.22
2013-05-07 19:51:41;1023.8;3.14
2013-05-07 19:56:41;1023.6;3.05
2013-05-07 20:01:41;1023.6;2.96
2013-05-07 20:06:41;1023.5;2.84
2013-05-07 20:11:41;1023.8;2.73
2013-05-07 20:16:41;1023.8;2.60
2013-05-07 20:21:41;1023.7;2.45
2013-05-07 20:26:41;1023.8;2.32
2013-05-07 20:31:41;1023.8;2.21
2013-05-07 20:36:41;1024.0;2.07
2013-05-07 20:41:41;1024.0;1.94
2013-05-07 20:46:41;1024.0;1.82
2013-05-07 20:51:41;1023.9;1.71
2013-05-07 20:56:41;1024.1;1.59
