Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 28/11/2012
TIME       : 15:58:57
FILENAME   : D:\Diver Office\CSV\kangerlussuaqbaro1_121128155857_33065.CSV
CREATED BY : SWS Diver-Office 3.0.90.7
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=3
  Status                  =Started =0
  Serial number           =BB01-33065  210.
  Instrument number       =33065               
                          =0
  Location                =kangerlussuaqbaro1
  Sample period           =M10
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =0.0       cm
  Range                   =150.0     cm
  Master level            =0         cm
  Altitude                =11        m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Series settings]
  Serial number           =BB01-33065  210.
  Instrument number       =33065               
  Location                =kangerlussuaqbaro1
  Sample period           =00 00:10:00 0
  Sample method           =T   
  Start date / time       =00:00:00 10-05-12
  End date / time         =00:00:15 26-09-12
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =0.0       cm
  Range                   =150.0     cm
  Master level            =0         cm
  Altitude                =11        m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.00    °C
  Range                   =100.00    °C


[Data]
20107
Date/time;Pressure[cm];Temperature[°C]
2012-05-10 00:00:00;1031.2;5.06
2012-05-10 00:10:00;1030.1;4.78
2012-05-10 00:20:00;1029.5;4.54
2012-05-10 00:30:00;1029.5;4.36
2012-05-10 00:40:00;1029.4;4.21
2012-05-10 00:50:00;1029.2;4.08
2012-05-10 01:00:00;1028.7;3.96
2012-05-10 01:10:00;1028.8;3.86
2012-05-10 01:20:00;1028.4;3.80
2012-05-10 01:30:00;1028.4;3.78
2012-05-10 01:40:00;1028.4;3.74
2012-05-10 01:50:00;1028.0;3.68
2012-05-10 02:00:00;1028.0;3.67
2012-05-10 02:10:00;1028.3;3.56
2012-05-10 02:20:00;1028.1;3.44
2012-05-10 02:30:00;1028.2;3.33
2012-05-10 02:40:00;1028.1;3.22
2012-05-10 02:50:00;1028.0;3.13
2012-05-10 03:00:00;1028.0;3.01
2012-05-10 03:10:00;1028.0;2.90
2012-05-10 03:20:00;1028.0;2.84
2012-05-10 03:30:00;1027.9;2.77
2012-05-10 03:40:00;1027.9;2.72
2012-05-10 03:50:00;1027.6;2.66
2012-05-10 04:00:00;1027.7;2.69
2012-05-10 04:10:00;1027.6;2.67
2012-05-10 04:20:00;1027.4;2.60
2012-05-10 04:30:00;1027.4;2.63
2012-05-10 04:40:00;1027.4;2.66
2012-05-10 04:50:00;1027.6;2.69
2012-05-10 05:00:00;1027.6;2.75
2012-05-10 05:10:00;1027.5;2.92
2012-05-10 05:20:00;1027.4;2.99
2012-05-10 05:30:00;1027.2;3.19
2012-05-10 05:40:00;1027.3;3.34
2012-05-10 05:50:00;1027.1;3.44
2012-05-10 06:00:00;1027.2;4.03
2012-05-10 06:10:00;1027.4;4.78
2012-05-10 06:20:00;1027.5;5.33
2012-05-10 06:30:00;1027.3;5.76
